ME 710 Project 3 
Completed by Michael Crawley on 06-Dec-2010

element	x	Temperature	Heat Flux
1	 5.00	  825.68277	 4516.01901
2	 15.00	  829.90440	 4577.45211
3	 25.00	  836.53135	 4623.24761
4	 35.00	  845.63185	 4708.41884
5	 45.00	  857.22534	 4868.60699
6	 55.00	  871.16433	 5159.71298
7	 65.00	  886.94308	 5660.46139
8	 75.00	  903.41839	 6432.95638
9	 85.00	  918.56447	 7419.21178
10	 95.00	  929.59865	 8325.84873
11	 105.00	  933.86663	 8703.81618
12	 115.00	  930.25078	 8321.16187
13	 125.00	  919.90607	 7411.56325
14	 135.00	  905.51970	 6424.60281
15	 145.00	  889.90197	 5652.90489
16	 155.00	  875.10462	 5153.21995
17	 165.00	  862.30002	 4862.64035
18	 175.00	  852.02996	 4701.99730
19	 185.00	  844.48758	 4609.65102
20	 195.00	  839.72927	 4509.53089
