xi	Analytic	Numeric 	Percent Error
0.000	3.1416	3.1406	-0.0311
0.002	3.1368	3.1369	0.0036
0.003	3.1320	3.1319	-0.0013
0.005	3.1272	3.1272	0.0006
0.006	3.1224	3.1224	-0.0004
0.008	3.1176	3.1176	0.0002
0.009	3.1128	3.1128	-0.0002
0.011	3.1080	3.1080	0.0001
0.012	3.1033	3.1033	-0.0001
0.014	3.0985	3.0985	0.0001
0.015	3.0938	3.0938	-0.0001
0.017	3.0890	3.0890	0.0001
0.018	3.0843	3.0843	0.0000
0.020	3.0796	3.0796	0.0000
0.021	3.0748	3.0748	0.0000
0.023	3.0701	3.0701	0.0000
0.025	3.0654	3.0654	0.0000
0.026	3.0607	3.0607	0.0000
0.028	3.0560	3.0560	0.0000
0.029	3.0514	3.0514	0.0000
0.031	3.0467	3.0467	0.0000
0.032	3.0420	3.0420	0.0000
0.034	3.0373	3.0373	0.0000
0.035	3.0327	3.0327	0.0000
0.037	3.0280	3.0280	0.0000
0.038	3.0234	3.0234	0.0000
0.040	3.0188	3.0188	0.0000
0.041	3.0141	3.0141	0.0000
0.043	3.0095	3.0095	0.0000
0.044	3.0049	3.0049	0.0000
0.046	3.0003	3.0003	0.0000
0.048	2.9957	2.9957	0.0000
0.049	2.9911	2.9911	0.0000
0.051	2.9865	2.9865	0.0000
0.052	2.9819	2.9819	0.0000
0.054	2.9774	2.9774	0.0000
0.055	2.9728	2.9728	0.0000
0.057	2.9683	2.9683	0.0000
0.058	2.9637	2.9637	0.0000
0.060	2.9592	2.9592	0.0000
0.061	2.9546	2.9546	0.0000
