  0.10 	   1088 	   0.48 	  60.50 
  0.15 	   1200 	   0.35 	  81.65 
  0.15 	   2040 	   0.60 	  69.96 
  0.15 	   2800 	   0.82 	  69.54 
  0.20 	   1176 	   0.26 	  78.19 
  0.20 	   1952 	   0.43 	  89.96 
  0.20 	   2808 	   0.62 	  77.52 
  0.20 	   3592 	   0.79 	  75.08 
  0.25 	   2016 	   0.36 	 104.44 
  0.25 	   2792 	   0.49 	  82.55 
  0.25 	   4016 	   0.71 	  86.98 
  0.30 	   2016 	   0.30 	 107.79 
  0.30 	   2776 	   0.41 	 111.06 
  0.30 	   3496 	   0.51 	  83.76 
  0.30 	   4032 	   0.59 	  89.23 
  0.30 	   4800 	   0.70 	  85.89 
  0.30 	   5560 	   0.82 	  91.76 
